metric,name,type,level,function_name
shape_mn,shape index,shape metric,class,lsm_c_shape_mn
shape_sd,shape index,shape metric,class,lsm_c_shape_sd
split,splitting index,aggregation metric,class,lsm_c_split
tca,total core area,core area metric,class,lsm_c_tca
te,total edge,area and edge metric,class,lsm_c_te
ai,aggregation index,aggregation metric,landscape,lsm_l_ai
area_cv,patch area,area and edge metric,landscape,lsm_l_area_cv
area_mn,patch area,area and edge metric,landscape,lsm_l_area_mn
area_sd,patch area,area and edge metric,landscape,lsm_l_area_sd
cai_cv,core area index,core area metric,landscape,lsm_l_cai_cv
cai_mn,core area index,core area metric,landscape,lsm_l_cai_mn
cai_sd,core area index,core area metric,landscape,lsm_l_cai_sd
circle_cv,related circumscribing circle,shape metric,landscape,lsm_l_circle_cv
circle_mn,related circumscribing circle,shape metric,landscape,lsm_l_circle_mn
circle_sd,related circumscribing circle,shape metric,landscape,lsm_l_circle_sd
cohesion,patch cohesion index,aggregation metric,landscape,lsm_l_cohesion
condent,conditional entropy,complexity metric,landscape,lsm_l_condent
contag,connectance,aggregation metric,landscape,lsm_l_contag
contig_cv,contiguity index,shape metric,landscape,lsm_l_contig_cv
contig_mn,contiguity index,shape metric,landscape,lsm_l_contig_mn
contig_sd,contiguity index,shape metric,landscape,lsm_l_contig_sd
core_cv,core area,core area metric,landscape,lsm_l_core_cv
core_mn,core area,core area metric,landscape,lsm_l_core_mn
core_sd,core area,core area metric,landscape,lsm_l_core_sd
dcad,disjunct core area density,core area metric,landscape,lsm_l_dcad
dcore_cv,disjunct core area,core area metric,landscape,lsm_l_dcore_cv
dcore_mn,disjunct core area,core area metric,landscape,lsm_l_dcore_mn
dcore_sd,disjunct core area,core area metric,landscape,lsm_l_dcore_sd
division,division index,aggregation metric,landscape,lsm_l_division
ed,edge density,area and edge metric,landscape,lsm_l_ed
enn_cv,euclidean nearest neighbor distance,aggregation metric,landscape,lsm_l_enn_cv
enn_mn,euclidean nearest neighbor distance,aggregation metric,landscape,lsm_l_enn_mn
enn_sd,euclidean nearest neighbor distance,aggregation metric,landscape,lsm_l_enn_sd
ent,shannon entropy,complexity metric,landscape,lsm_l_ent
frac_cv,fractal dimension index,shape metric,landscape,lsm_l_frac_cv
frac_mn,fractal dimension index,shape metric,landscape,lsm_l_frac_mn
frac_sd,fractal dimension index,shape metric,landscape,lsm_l_frac_sd
gyrate_cv,radius of gyration,area and edge metric,landscape,lsm_l_gyrate_cv
gyrate_mn,radius of gyration,area and edge metric,landscape,lsm_l_gyrate_mn
gyrate_sd,radius of gyration,area and edge metric,landscape,lsm_l_gyrate_sd
iji,interspersion and juxtaposition index,aggregation metric,landscape,lsm_l_iji
joinent,joint entropy,complexity metric,landscape,lsm_l_joinent
lpi,largest patch index,area and edge metric,landscape,lsm_l_lpi
lsi,landscape shape index,aggregation metric,landscape,lsm_l_lsi
mesh,effective mesh size,aggregation metric,landscape,lsm_l_mesh
msidi,modified simpson's diversity index,diversity metric,landscape,lsm_l_msidi
msiei,modified simpson's evenness index,diversity metric,landscape,lsm_l_msiei
mutinf,mutual information,complexity metric,landscape,lsm_l_mutinf
ndca,number of disjunct core areas,core area metric,landscape,lsm_l_ndca
np,number of patches,aggregation metric,landscape,lsm_l_np
pafrac,perimeter-area fractal dimension,shape metric,landscape,lsm_l_pafrac
para_cv,perimeter-area ratio,shape metric,landscape,lsm_l_para_cv
para_mn,perimeter-area ratio,shape metric,landscape,lsm_l_para_mn
para_sd,perimeter-area ratio,shape metric,landscape,lsm_l_para_sd
pd,patch density,aggregation metric,landscape,lsm_l_pd
pladj,percentage of like adjacencies,aggregation metric,landscape,lsm_l_pladj
pr,patch richness,diversity metric,landscape,lsm_l_pr
prd,patch richness density,diversity metric,landscape,lsm_l_prd
rpr,relative patch richness,diversity metric,landscape,lsm_l_rpr
shape_cv,shape index,shape metric,landscape,lsm_l_shape_cv
shape_mn,shape index,shape metric,landscape,lsm_l_shape_mn
shape_sd,shape index,shape metric,landscape,lsm_l_shape_sd
shdi,shannon's diversity index,diversity metric,landscape,lsm_l_shdi
shei,shannon's evenness index,diversity metric,landscape,lsm_l_shei
sidi,simpson's diversity index,diversity metric,landscape,lsm_l_sidi
siei,simspon's evenness index,diversity metric,landscape,lsm_l_siei
split,splitting index,aggregation metric,landscape,lsm_l_split
ta,total area,area and edge metric,landscape,lsm_l_ta
tca,total core area,core area metric,landscape,lsm_l_tca
te,total edge,area and edge metric,landscape,lsm_l_te
